,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
0,2022,45.8,46.2,58.5,69.5,77.9,,,,,,,,
1,2021,47.5,41.1,61.4,64.6,71.8,82.1,84.7,85.1,80.5,72.0,57.7,61.3,67.5
2,2020,50.3,49.6,63.4,64.6,73.8,81.9,85.7,86.0,74.7,65.0,60.4,49.0,67.0
3,2019,45.8,50.2,55.0,66.0,73.4,79.9,84.6,87.4,85.5,65.5,53.5,50.0,66.4
4,2018,45.8,51.1,63.3,61.6,79.0,85.7,88.8,85.2,78.1,66.2,52.5,48.4,67.1
5,2017,51.2,60.6,65.7,69.3,75.4,82.5,86.6,84.4,80.6,69.6,62.4,49.7,69.8
6,2016,47.0,55.2,61.2,68.1,72.5,84.0,87.4,85.8,81.5,74.1,63.5,49.7,69.2
7,2015,44.5,45.7,56.1,65.8,70.9,82.1,87.1,87.3,82.7,71.2,58.7,53.7,67.2
8,2014,45.3,47.0,55.1,66.3,74.4,82.4,83.8,86.2,80.3,71.6,51.5,50.1,66.2
9,2013,49.1,52.0,56.4,63.0,72.3,82.6,84.5,87.1,82.4,68.2,53.5,43.1,66.2
10,2012,50.4,52.5,64.3,70.3,77.9,84.3,87.7,86.5,80.0,67.0,59.7,51.2,69.3
11,2011,42.8,49.5,61.3,70.8,72.8,86.8,91.4,93.4,80.0,68.2,57.9,47.6,68.5
12,2010,44.3,41.7,55.8,66.7,76.9,86.5,85.9,89.8,79.8,68.8,58.5,49.3,67.0
13,2009,48.1,55.8,58.9,64.8,73.3,83.8,86.6,85.3,76.2,62.7,59.5,42.7,66.5
14,2008,46.9,54.0,61.0,66.5,77.0,86.5,89.0,86.7,78.5,69.6,59.7,49.0,68.7
15,2007,42.3,49.4,63.9,62.4,74.6,81.4,83.8,87.8,81.6,72.1,61.3,49.8,67.5
16,2006,55.1,49.4,62.2,72.0,78.0,83.7,87.7,89.8,77.6,68.1,57.5,50.0,69.3
17,2005,49.5,52.6,56.7,65.5,73.5,83.6,85.1,86.8,83.7,68.8,60.8,48.1,67.9
18,2004,48.5,45.8,61.8,66.2,74.4,79.4,83.5,81.5,78.4,72.1,57.1,48.9,66.5
19,2003,43.7,45.6,56.2,66.9,75.5,79.0,86.3,86.7,74.5,68.7,59.4,49.6,66.0
20,2002,47.6,47.0,54.8,68.4,72.0,80.1,83.2,84.7,79.6,64.9,53.8,47.7,65.3
21,2001,42.7,50.2,51.8,67.8,74.2,80.3,86.7,84.9,74.7,65.0,59.7,49.5,65.6
22,2000,50.6,57.3,61.0,65.3,76.6,80.7,87.3,90.2,80.4,69.7,49.8,39.4,67.4
23,1999,48.6,55.5,56.4,67.9,73.8,82.1,86.1,90.2,79.0,69.2,62.9,51.5,68.6
24,1998,48.4,51.1,54.9,63.8,78.5,85.5,91.6,87.8,83.6,69.5,57.6,47.0,68.3
25,1997,44.0,49.5,58.3,60.4,70.1,78.8,84.9,83.1,80.2,67.2,52.1,45.6,64.5
26,1996,43.1,52.1,53.3,64.2,79.7,82.5,86.1,82.5,74.5,66.9,54.9,49.2,65.8
27,1995,48.1,52.5,56.9,64.2,73.2,79.9,85.5,85.5,76.6,67.8,54.8,47.4,66.0
28,1994,45.7,48.6,59.0,65.9,71.5,84.1,83.9,84.0,76.3,67.3,57.9,49.0,66.1
29,1993,45.1,49.0,56.1,63.3,71.9,81.7,87.3,87.5,78.2,63.8,51.6,49.5,65.4
30,1992,46.9,54.4,59.0,66.0,71.1,79.4,84.3,80.2,77.7,69.5,52.7,49.9,65.9
31,1991,42.8,53.7,59.8,67.4,75.4,81.0,85.0,82.5,75.2,68.1,51.7,50.3,66.1
32,1990,51.8,53.9,57.7,64.0,73.4,84.0,82.5,84.6,80.0,66.4,59.8,44.0,66.8
33,1989,50.0,42.2,56.7,66.4,74.3,77.9,82.8,82.3,74.7,69.0,58.2,39.0,64.5
34,1988,42.2,47.1,56.0,64.5,72.8,80.4,85.3,87.9,79.2,65.7,58.1,49.1,65.7
35,1987,44.5,50.8,53.9,65.0,75.1,79.6,83.4,86.5,77.1,66.5,55.7,47.3,65.5
36,1986,48.8,51.2,60.2,67.2,71.5,80.8,86.4,83.4,80.2,65.7,52.4,46.1,66.2
37,1985,37.8,45.0,60.8,67.2,74.0,80.2,84.4,87.6,77.7,67.6,56.3,42.3,65.1
38,1984,39.3,50.9,56.3,63.7,73.7,82.5,85.5,85.8,76.1,67.0,54.6,52.6,65.7
39,1983,43.4,48.5,54.5,60.6,69.5,77.3,83.6,84.9,77.1,67.8,57.3,34.8,63.3
40,1982,44.6,44.5,59.8,62.5,72.5,79.2,84.6,86.7,78.1,67.0,55.6,49.2,65.4
41,1981,44.6,48.9,55.7,69.2,70.5,80.3,85.9,83.4,76.2,66.1,57.5,47.3,65.5
42,1980,45.5,46.6,54.2,63.1,75.0,87.0,92.0,88.5,80.3,65.4,54.9,49.4,66.8
43,1979,35.4,42.2,56.7,64.4,69.7,81.0,84.5,82.5,77.0,70.8,52.9,49.4,63.9
44,1978,33.8,36.7,54.1,67.1,73.1,82.3,88.4,84.6,80.2,68.9,57.7,46.1,64.4
45,1977,34.7,49.4,57.2,66.8,77.4,84.1,87.1,84.9,81.6,66.7,56.4,47.6,66.2
46,1976,45.0,58.4,59.4,64.9,68.6,78.8,82.1,84.2,76.1,60.2,49.5,45.0,64.4
47,1975,49.0,46.6,53.8,64.7,72.4,80.9,83.6,84.8,75.6,69.8,57.3,49.0,65.6
48,1974,43.6,52.3,62.9,65.8,75.7,78.7,86.1,82.9,70.9,69.2,55.5,47.2,65.9
49,1973,42.5,47.9,60.0,60.7,71.7,79.3,83.9,82.9,76.1,68.3,59.8,48.4,65.1
50,1972,45.0,51.5,62.1,70.1,72.7,81.4,83.1,84.7,80.8,67.5,50.1,44.0,66.1
51,1971,46.7,49.2,55.6,64.0,70.5,82.9,84.4,79.5,77.1,70.1,57.0,52.2,65.8
52,1970,40.6,48.6,52.1,66.2,71.7,79.1,84.0,85.8,78.2,65.1,54.7,53.6,65.0
53,1969,49.0,50.0,49.8,65.4,71.9,79.8,87.9,84.2,77.1,65.3,55.1,49.9,65.5
54,1968,44.4,44.2,54.6,63.4,72.4,79.5,81.0,83.5,74.6,67.8,53.9,47.4,63.9
55,1967,48.3,46.8,63.3,71.1,71.4,81.4,82.9,83.1,74.1,65.4,55.6,47.0,65.9
56,1966,40.3,45.4,56.3,63.8,70.8,79.6,86.3,82.7,75.8,65.0,60.7,45.3,64.3
57,1965,47.1,45.8,47.0,68.4,72.9,79.9,86.3,84.1,79.4,66.6,62.9,52.8,66.1
58,1964,43.8,43.8,55.6,66.8,73.2,81.0,87.1,85.3,76.9,63.6,57.6,47.1,65.2
59,1963,37.8,46.4,61.2,70.4,75.0,83.1,87.4,87.3,79.2,73.5,58.4,40.3,66.7
60,1962,39.6,53.3,54.0,64.3,77.6,79.9,85.5,85.6,77.1,70.4,55.5,47.2,65.8
61,1961,40.9,50.3,59.3,64.0,73.1,77.9,82.3,82.7,76.9,67.3,52.7,45.8,64.4
62,1960,44.1,43.0,49.1,67.3,72.0,82.9,84.6,84.0,79.6,70.0,57.5,43.7,64.8
63,1959,42.5,48.9,56.6,63.4,75.1,80.7,83.1,84.5,79.7,66.1,49.5,50.2,65.0
64,1958,44.9,43.6,48.7,61.5,73.1,82.3,85.7,85.0,78.4,65.8,57.4,43.6,64.2
65,1957,43.7,54.1,52.6,61.6,71.5,80.2,87.4,85.1,75.1,62.3,51.6,51.7,64.7
66,1956,44.9,50.1,58.4,64.8,77.7,83.3,89.0,88.0,80.9,71.0,52.7,50.0,67.6
67,1955,46.3,48.6,57.9,69.6,76.5,78.0,85.4,84.2,80.8,68.3,55.4,47.1,66.5
68,1954,45.6,56.3,55.9,70.7,68.8,83.9,90.5,88.8,81.9,69.9,55.6,49.7,68.1
69,1953,51.9,50.7,61.6,62.4,72.8,87.5,85.1,84.0,79.1,68.8,53.7,44.9,66.9
70,1952,54.0,54.4,55.5,62.5,72.6,85.3,86.3,91.1,79.8,65.1,55.1,46.6,67.4
71,1951,46.0,49.5,56.8,64.7,72.6,80.6,87.1,90.3,79.4,69.8,52.3,50.1,66.6
72,1950,47.9,53.0,56.0,63.6,73.7,80.2,81.3,82.2,75.2,71.8,54.6,46.5,65.5
73,1949,39.1,48.6,57.0,63.6,75.7,82.2,86.0,83.0,75.4,65.5,58.8,49.8,65.4
74,1948,38.4,46.3,52.8,71.0,73.2,82.8,84.8,85.8,77.6,66.8,55.6,51.4,65.5
75,1947,45.2,43.9,49.8,65.0,71.2,81.0,84.2,86.2,79.2,73.2,51.6,48.0,64.9
76,1946,45.0,52.4,60.8,68.4,69.7,78.4,85.4,85.0,75.2,68.8,56.4,52.2,66.5
77,1945,45.8,49.6,61.6,63.0,71.8,79.6,81.7,83.2,78.2,65.4,59.8,43.4,65.3
78,1944,46.5,51.8,54.9,64.6,72.2,83.1,85.5,85.5,77.2,68.9,58.0,44.2,66.0
79,1943,45.0,53.2,51.4,69.2,73.4,82.4,86.1,89.3,76.2,66.3,55.4,44.5,66.0
80,1942,43.1,48.3,56.2,65.6,72.6,81.4,84.8,84.4,74.3,65.4,60.0,47.5,65.3
81,1941,48.2,46.7,51.9,65.4,75.6,78.1,84.4,84.9,79.8,71.2,55.2,50.0,66.0
82,1940,34.9,47.8,60.0,64.2,71.6,76.8,81.6,81.7,76.6,70.4,53.1,48.9,64.0
83,1939,50.8,45.4,60.1,65.0,75.8,81.6,86.6,85.4,83.7,71.4,54.4,52.6,67.7
84,1938,49.2,54.3,64.2,63.2,72.9,81.3,83.6,85.9,80.3,73.0,54.5,48.9,67.6
85,1937,41.0,48.8,51.6,66.2,75.0,81.8,85.0,86.6,79.8,67.4,52.4,46.1,65.1
86,1936,44.0,42.2,62.7,64.8,74.0,84.0,84.4,87.6,79.8,62.6,52.4,50.4,65.7
87,1935,49.7,49.6,63.4,64.6,69.5,78.6,85.1,85.7,73.8,69.0,51.8,45.5,65.5
88,1934,48.9,49.2,54.8,67.2,74.4,86.0,88.2,88.3,76.8,73.2,60.2,49.7,68.1
89,1933,54.6,46.8,59.2,66.0,75.5,81.6,85.4,83.3,82.8,70.2,59.0,54.0,68.2
90,1932,48.2,56.8,54.1,67.4,72.2,80.8,84.8,84.8,76.0,65.8,52.4,43.4,65.6
91,1931,49.9,53.6,51.8,61.6,68.5,81.4,84.8,82.6,83.0,72.7,62.0,51.0,66.9
92,1930,35.2,57.6,55.5,71.1,71.2,80.2,86.5,85.2,78.9,65.6,56.6,47.4,65.9
93,1929,46.1,39.0,60.8,68.4,70.8,81.8,84.2,86.8,77.8,68.6,49.2,50.8,65.4
94,1928,49.2,51.4,59.9,62.2,74.2,78.7,83.1,84.2,76.2,71.6,54.8,48.2,66.1
95,1927,46.0,51.6,56.6,68.2,77.6,80.1,83.8,84.8,78.0,70.6,63.1,44.4,67.1
96,1926,44.8,54.8,52.9,60.6,71.7,79.7,81.4,83.1,80.0,71.2,55.4,47.8,65.3
97,1925,43.4,55.9,62.2,72.4,73.8,85.3,88.2,84.8,82.0,63.5,55.9,46.0,67.8
98,1924,41.4,47.4,50.8,65.2,69.0,83.4,83.6,87.0,74.3,69.4,59.2,44.9,64.6
99,1923,55.5,46.4,53.6,66.0,73.4,80.6,85.2,85.2,78.5,62.5,56.0,50.8,66.1
100,1922,43.0,52.5,56.4,65.3,74.1,80.2,85.0,85.2,79.4,67.6,57.5,52.8,66.6
101,1921,51.4,52.0,63.4,62.8,73.4,78.8,83.4,86.4,81.9,67.9,61.6,51.2,67.9
102,1920,43.0,50.4,56.4,63.6,73.4,78.3,82.8,78.1,77.9,67.6,51.9,48.3,64.3
103,1919,45.8,47.3,56.1,65.0,69.8,76.7,81.4,82.0,75.6,68.4,53.6,44.4,63.8
104,1918,36.8,52.0,62.2,63.4,75.2,84.4,85.1,87.0,73.0,69.0,53.6,49.8,66.0
105,1917,48.6,49.9,58.3,63.8,66.8,80.6,84.6,84.2,75.8,64.0,57.4,41.6,64.6
106,1916,46.2,48.8,62.4,62.3,72.8,80.2,84.8,83.6,77.4,68.1,55.4,48.0,65.8
107,1915,45.4,52.2,46.8,66.2,72.7,80.3,81.9,79.1,77.1,67.6,60.1,50.9,65.0
108,1914,53.0,44.3,55.5,63.2,70.2,83.0,86.6,80.0,77.4,66.2,57.1,39.7,64.7
109,1913,46.1,43.8,53.2,64.8,73.6,79.4,85.1,85.9,72.9,62.6,62.4,45.6,64.6
110,1912,40.6,45.6,49.8,64.5,74.0,77.0,85.8,82.0,76.9,68.7,55.2,45.5,63.8
111,1911,53.3,53.8,63.3,63.8,74.0,85.9,82.4,84.5,82.3,66.2,51.8,45.0,67.2
112,1910,48.2,44.6,64.4,64.6,70.3,80.0,85.0,86.4,81.2,67.4,58.6,47.9,66.6
113,1909,49.0,53.8,59.0,64.2,72.6,81.4,87.4,85.6,78.2,68.9,63.2,39.4,66.9
114,1908,48.6,49.7,63.5,64.4,72.8,80.2,81.2,82.2,76.0,64.4,57.2,50.8,65.9
115,1907,54.4,51.9,66.8,61.8,65.8,79.6,82.6,85.6,79.6,66.2,52.4,49.3,66.3
116,1906,47.1,47.0,51.6,66.4,71.6,79.3,80.8,80.4,77.2,61.4,55.2,51.7,64.1
117,1905,38.2,35.4,60.5,62.0,73.0,80.2,79.4,83.0,78.2,65.0,58.3,42.5,63.0
118,1904,44.6,52.2,62.9,64.0,71.6,78.2,81.8,81.0,77.8,68.4,56.6,47.1,65.5
119,1903,46.0,43.4,54.1,64.4,69.6,73.3,80.6,82.1,74.8,63.7,53.8,47.4,62.8
120,1902,44.0,46.0,57.8,68.7,74.8,83.2,81.6,86.7,72.8,67.2,58.5,45.7,65.6
121,1901,50.8,45.0,56.7,62.6,71.5,82.0,85.2,85.5,77.4,70.4,57.3,46.5,65.9
122,1900,47.3,46.7,56.3,64.5,71.6,81.9,80.7,81.2,80.6,69.8,57.8,49.3,65.6
123,1899,42.0,35.1,55.4,61.8,75.4,79.2,81.4,87.0,76.5,69.4,58.0,46.2,64.0
124,1898,,,,,,,,,77.2,64.8,51.0,40.9,
