Date,Crude Oil (only),Lease Condensate,Crude Oil and Lease Condensate (MMBbl),Gas (Bcf),,U.S. crude oil and lease condensate proved reserves (billion barrels),U.S. total natural gas proved reserves (trillion cubic feet),,,,,,,,,,,,,,,,,,,,,,,
1963,30970,3158,34128,276151,,34.1,276.2,,,,,,,,,,,,,,,,,,,,,,,
1964,30991,3160,34151,281251,,34.2,281.3,,,,,,,,,,,,,,,,,,,,,,,
1965,31352,3198,34550,286469,,34.6,286.5,,,,,,,,,,,,,,,,,,,,,,,
1966,31452,3208,34660,289333,,34.7,289.3,,,,,,,,,,,,,,,,,,,,,,,
1967,31377,3199,34576,292908,,34.6,292.9,,,,,,,,,,,,,,,,,,,,,,,
1968,30707,3132,33839,287350,,33.8,287.4,,,,,,,,,,,,,,,,,,,,,,,
1969,29632,3022,32654,275109,,32.7,275.1,,,,,,,,,,,,,,,,,,,,,,,
1970,39001,3978,42979,290746,,43.0,290.7,,,,,,,,,,,,,,,,,,,,,,,
1971,38063,3882,41945,278806,,41.9,278.8,,,,,,,,,,,,,,,,,,,,,,,
1972,36339,3706,40045,266085,,40.0,266.1,,,,,,,,,,,,,,,,,,,,,,,
1973,35300,3600,38900,249950,,38.9,250.0,,,,,,,,,,,,,,,,,,,,,,,
1974,32250,5493,37743,237132,,37.7,237.1,,,,,,,,,,,,,,,,,,,,,,,
1975,32682,3333,36015,228200,,36.0,228.2,,,,,,,,,,,,,,,,,,,,,,,
1976,30942,3156,34098,216026,,34.1,216.0,,,,,,,,,,,,,,,,,,,,,,,
1977,29486,3007,32493,207413,,32.5,207.4,,,,,,,,,,,,,,,,,,,,,,,
1978,27804,2835,30639,208033,,30.6,208.0,,,,,,,,,,,,,,,,,,,,,,,
1979,29810,1411,31221,208335,,31.2,208.3,,,,,,,,,,,,,,,,,,,,,,,
1980,29805,1530,31335,206259,,31.3,206.3,,,,,,,,,,,,,,,,,,,,,,,
1981,29426,1580,31006,209434,,31.0,209.4,,,,,,,,,,,,,,,,,,,,,,,
1982,27858,1601,29459,209254,,29.5,209.3,,,,,,,,,,,,,,,,,,,,,,,
1983,27735,1613,29348,209046,,29.3,209.0,,,,,,,,,,,,,,,,,,,,,,,
1984,28446,1522,29968,205984,,30.0,206.0,,,,,,,,,,,,,,,,,,,,,,,
1985,28416,1453,29869,202202,,29.9,202.2,,,,,,,,,,,,,,,,,,,,,,,
1986,26889,1436,28325,201109,,28.3,201.1,,,,,,,,,,,,,,,,,,,,,,,
1987,27256,1402,28658,196428,,28.7,196.4,,,,,,,,,,,,,,,,,,,,,,,
1988,26825,1389,28214,176999,,28.2,177.0,,,,,,,,,,,,,,,,,,,,,,,
1989,26501,1389,27890,175428,,27.9,175.4,,,,,,,,,,,,,,,,,,,,,,,
1990,26254,1302,27556,177576,,27.6,177.6,,,,,,,,,,,,,,,,,,,,,,,
1991,24682,1244,25926,175325,,25.9,175.3,,,,,,,,,,,,,,,,,,,,,,,
1992,23745,1226,24971,173309,,25.0,173.3,,,,,,,,,,,,,,,,,,,,,,,
1993,22957,1192,24149,170490,,24.1,170.5,,,,,,,,,,,,,,,,,,,,,,,
1994,22457,1147,23604,171939,,23.6,171.9,,,,,,,,,,,,,,,,,,,,,,,
1995,22351,1197,23548,173476,,23.5,173.5,,,,,,,,,,,,,,,,,,,,,,,
1996,22017,1307,23324,175147,,23.3,175.1,,,,,,,,,,,,,,,,,,,,,,,
1997,22546,1341,23887,175721,,23.9,175.7,,,,,,,,,,,,,,,,,,,,delta,delta gas,,
1998,21034,1336,22370,172443,,22.4,172.4,,,,,,,,,,,,,,,,,,,,oil,,,
1999,21765,1403,23168,176159,,23.2,176.2,,,,,,,,,,,,,,,,,,,,23,5100,,
2000,22045,1472,23517,186510,,23.5,186.5,,,,,,,,,,,,,,,,,,,,399,5218,,
2001,22446,1398,23844,191743,,23.8,191.7,,,,,,,,,,,,,,,,,,,,110,2864,,
2002,22677,1346,24023,195561,,24.0,195.6,,,,,,,,,,,,,,,,,,,,-84,3575,,
2003,21891,1215,23106,197145,,23.1,197.1,,,,,,,,,,,,,,,,,,,,-737,-5558,,
2004,21371,1221,22592,201200,,22.6,201.2,,,,,,,,,,,,,,,,,,,,-1185,-12241,,
2005,21757,1262,23019,213308,,23.0,213.3,,,,,,,,,,,,,,,,,,,,10325,15637,,
2006,20972,1339,22311,220416,,22.3,220.4,,,,,,,,,,,,,,,,,,,,-1034,-11940,,
2007,21317,1495,22812,247789,,22.8,247.8,,,,,,,,,,,,,,,,,,,,-1900,-12721,,
2008,19121,1433,20554,255035,,20.6,255.0,,,,,,,,,,,,,,,,,,,,-1145,-16135,,
2009,20682,1633,22315,283879,,22.3,283.9,,,,,,,,,,,,,,,,,,,,-1157,-12818,,
2010,23267,1914,25181,317647,,25.2,317.6,,,,,,,,,,,,,,,,,,,,-1728,-8932,,
2011,26544,2406,28950,348809,,29.0,348.8,,,,,,,,,,,,,,,,,,,,-1917,-12174,,
2012,30529,2874,33403,322670,,33.4,322.7,,,,,,,,,,,,,,,,,,,,-1605,-8613,,
2013,33371,3149,36520,353994,,36.5,354.0,,,,,,,,,,,,,,,,,,,,-1854,620,,
2014,36385,3548,39933,388841,,39.9,388.8,,,,,,,,,,,,,,,,,,,,582,302,,
2015,32318,2912,35230,324303,,35.2,324.3,,,,,,,,,,,,,,,,,,,,114,-2076,,
2016,32773,2440,35213,341133,,35.2,341.1,,,,,,,,,,,,,,,,,,,,-329,3175,,
2017,39160,2830,41990,464292,,42.0,464.3,,,,,,,,,,,,,,,,,,,,-1547,-180,,
2018,43824,3229,47053,504501,,47.1,504.5,,,,,,,,,,,,,,,,,,,,-111,-208,,
2019,44191,2916,47107,494911,,47.1,494.9,,,,,,,,,,,,,,,,,,,,620,-3062,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-99,-3782,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1544,-1093,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,333,-4681,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-444,-19429,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-324,-1571,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-334,2148,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1630,-2251,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-955,-2016,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-822,-2819,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-545,1449,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,1537,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-224,1671,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,563,574,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-1517,-3278,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,798,3716,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,349,10351,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,327,5233,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,179,3818,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-917,1584,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-514,4055,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,427,12108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-708,7108,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,501,27373,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-2258,7246,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,28844,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2866,33768,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3769,31162,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4453,-26139,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3117,31324,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3413,34847,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-4703,-64538,-0.12,-0.17
,,,,,,,,,,,,,,,,,,,,,,,,,,,-17,16830,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6777,123159,0.19,0.36
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
